"","x"
"mitchel",6
"slip",6
"stripper",6
"diminish",6
"switzerland",6
"herring",6
"counterpart",6
"dip",6
"perman",6
"nugent",6
"airbus",6
"confront",6
"therefor",6
"fine",6
"mayb",6
"luxembourg",6
"boom",6
"guinea",6
"miner",6
"submit",6
"kansai",6
"convert",6
"expert",6
"unabl",6
"egyptian",6
"gabon",6
"lie",6
"coastal",6
"beyond",6
"rich",6
"overhaul",6
"norwegian",6
"sand",6
"heavier",6
"bridg",6
"eurodollar",6
"liff",6
"engag",6
"landslid",6
"lago",6
"formula",6
"border",6
"cubic",6
"graviti",6
"cordero",6
"febr",6
"ocean",6
"illinoi",6
"conoco",6
"battl",6
"leas",6
"modest",6
"javier",6
"schlumberg",6
"verifi",6
"ottawa",6
"controversi",6
"missouri",6
"ten",6
"fit",6
"wider",6
"black",6
"divis",6
"observ",6
"francais",6
"phillip",6
"life",6
"attitud",6
"gold",6
"room",6
"entiti",6
"moreov",6
"popular",6
"programm",6
"benefici",6
"policymak",6
"penal",6
"healthi",6
"bar",6
"begun",6
"contrast",6
"mention",6
"miller",6
"content",6
"dhabi",6
"oapec",6
"legal",6
"salvag",6
"defus",6
"byrd",6
"deduct",6
"discharg",6
"mechan",6
"tend",6
"barber",6
"worri",6
"grangemouth",6
"regular",6
"spread",6
"reopen",6
"oki",6
"ward",6
"edward",6
"cme",6
"carney",6
"stat",6
"licens",6
"operatorship",6
"margaret",6
"testimoni",6
"saba",6
"lebanes",6
"fec",6
"fso",6
"bangemann",6
"accompani",5
"dramat",5
"suffici",5
"regain",5
"hill",5
"independ",5
"sabah",5
"bit",5
"counter",5
"divid",5
"monopoli",5
"primarili",5
"zero",5
"aziz",5
"health",5
"grown",5
"introduct",5
"nevertheless",5
"fulli",5
"hemispher",5
"spa",5
"kenneth",5
"cif",5
"entitl",5
"restraint",5
"scheme",5
"throughput",5
"decre",5
"implic",5
"irrit",5
"varieti",5
"guard",5
"efp",5
"mercantil",5
"subsequ",5
"acid",5
"northwest",5
"rain",5
"deliber",5
"authoris",5
"automat",5
"broker",5
"exploit",5
"percentag",5
"dead",5
"saturday",5
"touch",5
"undervalu",5
"salina",5
"editori",5
"gsp",5
"labour",5
"mandatori",5
"obtain",5
"print",5
"shultz",5
"vast",5
"voluntari",5
"drastic",5
"messag",5
"compet",5
"persist",5
"repaid",5
"spark",5
"sponsor",5
"wheat",5
"wellemey",5
"peseta",5
"shrink",5
"acquir",5
"advisori",5
"fujitsu",5
"likelihood",5
"takeov",5
"across",5
"forum",5
"inland",5
"onshor",5
"bae",5
"breach",5
"monitor",5
"method",5
"blame",5
"southland",5
"concret",5
"document",5
"devis",5
"envoy",5
"correspond",5
"refrain",5
"collect",5
"demonstr",5
"michel",5
"yugoslavia",5
"dispos",5
"client",5
"injuri",5
"gilt",5
"destock",5
"peter",5
"accid",5
"lusinchi",5
"owe",5
"squeez",5
"procur",5
"wonnacott",5
"bob",5
"canterra",5
"graven",5
"portion",5
"shc",5
"afford",5
"combat",5
"floor",5
"windfal",5
"picken",5
"throughout",5
"consortium",5
"scrap",5
"realist",5
"partial",5
"most",5
"crash",5
"behalf",5
"garcia",5
"diversif",5
"hugh",5
"pure",5
"affili",5
"feet",5
"inch",5
"marin",5
"saskatchewan",5
"written",5
"copyright",5
"cautious",5
"fruit",5
"murakhovski",5
"sulphur",5
"task",5
"foundat",5
"caribbean",5
"brian",5
"got",5
"connect",5
"remitt",5
"front",5
"wind",5
"mill",5
"aspect",5
"judgement",5
"match",5
"weigh",5
"exercis",5
"esso",5
"envisag",5
"reinforc",5
"sceptic",5
"secret",5
"vulner",5
"troop",5
"disciplin",5
"refund",5
"sugar",5
"bear",5
"scope",5
"sens",5
"banco",5
"brasil",5
"bonn",5
"stimulus",5
"disturb",5
"definit",5
"sharehold",5
"mee",5
"haven",5
"deplor",5
"keen",5
"inter",5
"oklahoma",5
"sacrific",5
"notabl",5
"subsidis",5
"richfield",5
"raymond",5
"ceremoni",5
"chalabi",5
"bulk",5
"kuwaiti",5
"rotterdam",5
"neyra",5
"reneg",5
"roxi",5
"fifth",5
"berlin",5
"bloc",5
"recognit",5
"cds",5
"compli",5
"missil",5
"ineffici",5
"undermin",5
"braverman",5
"dawkin",5
"unwilling",5
"climat",5
"stori",5
"unemploy",5
"hajim",5
"guid",5
"somewhat",5
"rrt",5
"satoshi",5
"bitter",5
"concepcion",5
"ronald",5
"occident",5
"bukhoosh",5
"fesharaki",5
"acquisit",5
"weaker",5
"cool",5
"herstatt",5
"islam",5
"phlx",5
"yugoslav",5
"smart",5
"wolf",5
"matsunaga",5
"pariti",5
"horner",5
"poorest",5
"departur",5
"anniversari",4
"wors",4
"dia",4
"closer",4
"daniel",4
"princip",4
"spoke",4
"uncertain",4
"univers",4
"edmonton",4
"none",4
"swift",4
"firmer",4
"quiet",4
"sunday",4
"communic",4
"educ",4
"reveal",4
"social",4
"citizen",4
"diversifi",4
"hamper",4
"stem",4
"contact",4
"imposs",4
"bargain",4
"easili",4
"happi",4
"minut",4
"sub",4
"criticis",4
"deep",4
"unaccept",4
"embargo",4
"frank",4
"cultur",4
"weather",4
"hitachi",4
"preserv",4
"specifi",4
"spokesmen",4
"jaim",4
"monsod",4
"mexican",4
"seminar",4
"articl",4
"citi",4
"coincid",4
"communist",4
"northeast",4
"romania",4
"treatment",4
"enorm",4
"sizeabl",4
"upset",4
"freedom",4
"hike",4
"mckinley",4
"rumor",4
"sanford",4
"pancanadian",4
"bbls",4
"staff",4
"upon",4
"belief",4
"rebound",4
"concentr",4
"drive",4
"presenc",4
"soft",4
"fairchild",4
"giant",4
"blend",4
"bolster",4
"extract",4
"frequent",4
"cotton",4
"woong",4
"defer",4
"discriminatori",4
"algerian",4
"word",4
"everyon",4
"judg",4
"visibl",4
"bonni",4
"compat",4
"fellow",4
"hardship",4
"prior",4
"vienna",4
"honour",4
"twice",4
"farmer",4
"sweep",4
"wall",4
"air",4
"ngls",4
"qtr",4
"intensifi",4
"attach",4
"indefinit",4
"mercal",4
"tremor",4
"absorb",4
"assumpt",4
"pull",4
"recogn",4
"agrio",4
"blow",4
"hector",4
"ordin",4
"inflow",4
"unspecifi",4
"conclus",4
"southeast",4
"imo",4
"injur",4
"leon",4
"alaskan",4
"environment",4
"refug",4
"dupont",4
"upgrad",4
"branch",4
"complianc",4
"dynam",4
"gear",4
"upturn",4
"urgenc",4
"riyadh",4
"forint",4
"incur",4
"redeem",4
"quito",4
"greatest",4
"alon",4
"colleagu",4
"prais",4
"triton",4
"temporarili",4
"cheaper",4
"plane",4
"eia",4
"sensit",4
"whatev",4
"wrap",4
"telex",4
"reaction",4
"ontario",4
"pace",4
"provinci",4
"disadvantag",4
"neighbour",4
"fish",4
"hair",4
"powerin",4
"restart",4
"bomb",4
"barter",4
"seamen",4
"bind",4
"stipul",4
"percept",4
"surpris",4
"christi",4
"corpus",4
"becam",4
"instanc",4
"ratio",4
"stream",4
"influenti",4
"kirkland",4
"lane",4
"jopl",4
"impati",4
"emphasi",4
"guidelin",4
"bearish",4
"chicago",4
"unsuccess",4
"perhap",4
"compon",4
"element",4
"host",4
"arc",4
"fos",4
"jerom",4
"lee",4
"stockbrok",4
"thus",4
"alway",4
"receipt",4
"pete",4
"den",4
"unnecessari",4
"discourag",4
"adequ",4
"site",4
"akzo",4
"zimbabw",4
"core",4
"impli",4
"sixth",4
"tackl",4
"mike",4
"tropic",4
"incid",4
"impetus",4
"benbow",4
"kharg",4
"platform",4
"ditch",4
"locat",4
"yamamoto",4
"taqi",4
"reorgan",4
"amstutz",4
"nobodi",4
"road",4
"inclin",4
"endeavour",4
"disappoint",4
"miss",4
"draugen",4
"haltenbanken",4
"khartoum",4
"bywat",4
"agip",4
"alarm",4
"fertil",4
"oxi",4
"iagifu",4
"norg",4
"honor",4
"von",4
"wartenberg",4
"credibl",4
"revok",4
"trial",4
"indebt",4
"worsen",4
"mps",4
"slap",4
"toshiba",4
"tian",4
"kyodo",4
"idb",4
"angri",4
"giordano",4
"lighten",4
"ural",4
"mcmillan",4
"randol",4
"ryzhkov",4
"nippon",4
"brien",4
"payrol",4
"semi",4
"valuat",4
"maciej",4
"amazon",4
"analysi",3
"cheat",3
"easi",3
"learn",3
"mizrahi",3
"mlotok",3
"pessimist",3
"sort",3
"remaind",3
"qaba",3
"unusu",3
"crossroad",3
"plastic",3
"popul",3
"substitut",3
"absenc",3
"categori",3
"defin",3
"dwindl",3
"gib",3
"henri",3
"incorpor",3
"proper",3
"architect",3
"manipul",3
"pronounc",3
"turmoil",3
"yanbu",3
"carlsson",3
"delic",3
"ignor",3
"machin",3
"seller",3
"wam",3
"deeper",3
"ming",3
"shoe",3
"techniqu",3
"ucl",3
"mckiernan",3
"physic",3
"assert",3
"lumber",3
"overwhelm",3
"spirit",3
"subsid",3
"ankara",3
"athen",3
"bern",3
"ideal",3
"ongpin",3
"versus",3
"liquifi",3
"maya",3
"mexicano",3
"unti",3
"disrupt",3
"dozen",3
"generalis",3
"guidanc",3
"inaccur",3
"fertilis",3
"lubric",3
"cope",3
"enact",3
"screen",3
"temptat",3
"ecgd",3
"lesser",3
"recipi",3
"retir",3
"apart",3
"spill",3
"bulletin",3
"edg",3
"san",3
"bangladesh",3
"stanley",3
"context",3
"ligero",3
"ruiz",3
"handl",3
"paemen",3
"cloud",3
"counti",3
"guerard",3
"kern",3
"malmgreen",3
"patch",3
"pickup",3
"wilson",3
"bound",3
"sudden",3
"unfound",3
"gholamreza",3
"buchanan",3
"style",3
"workforc",3
"sit",3
"wildcat",3
"brink",3
"drew",3
"interpret",3
"admiss",3
"slc",3
"kaputin",3
"ownership",3
"inadequ",3
"proof",3
"supercomput",3
"breakdown",3
"mfn",3
"scientif",3
"superpow",3
"treat",3
"inabl",3
"overproduct",3
"poll",3
"perceiv",3
"tarrif",3
"align",3
"distanc",3
"quantiti",3
"secretariat",3
"spite",3
"constant",3
"spoken",3
"constraint",3
"helmut",3
"redress",3
"usa",3
"noir",3
"territori",3
"isthmus",3
"permian",3
"coalit",3
"culmin",3
"aguarico",3
"cepe",3
"majeur",3
"regist",3
"struck",3
"encompass",3
"turnov",3
"panic",3
"resid",3
"spell",3
"nicaragua",3
"paraguay",3
"tap",3
"travel",3
"taka",3
"fewer",3
"professor",3
"flank",3
"kilomet",3
"newfoundland",3
"modifi",3
"napo",3
"charl",3
"obstacl",3
"ussr",3
"yuan",3
"breath",3
"campaign",3
"distributor",3
"kilobit",3
"loophol",3
"predatori",3
"random",3
"space",3
"steve",3
"contractor",3
"jukardi",3
"expir",3
"outcom",3
"choos",3
"bottom",3
"dresser",3
"freedman",3
"kerridg",3
"merger",3
"sweeney",3
"turnaround",3
"disast",3
"capabl",3
"pciac",3
"cassett",3
"video",3
"intellectu",3
"spr",3
"doumeng",3
"pechiney",3
"veget",3
"destin",3
"stretch",3
"book",3
"pretti",3
"ratif",3
"ineffect",3
"enjoy",3
"tanker",3
"caution",3
"gradin",3
"medic",3
"acr",3
"flaw",3
"nearer",3
"carlo",3
"samudio",3
"wave",3
"pile",3
"manner",3
"notif",3
"faith",3
"nearbi",3
"southwest",3
"accentu",3
"father",3
"infanc",3
"leo",3
"lira",3
"dresdner",3
"bipartisan",3
"tumaco",3
"distort",3
"slid",3
"unp",3
"heard",3
"caught",3
"chamber",3
"laid",3
"moham",3
"reschedul",3
"sore",3
"agenda",3
"ceas",3
"siew",3
"closest",3
"complic",3
"disagre",3
"sheet",3
"auster",3
"freez",3
"erupt",3
"pariba",3
"brand",3
"cornerston",3
"frenzel",3
"showdown",3
"waiv",3
"profil",3
"cumul",3
"deriv",3
"friend",3
"provok",3
"worthwhil",3
"aggrav",3
"repeal",3
"honda",3
"watanab",3
"enger",3
"inevit",3
"shape",3
"austria",3
"tier",3
"zambian",3
"bruce",3
"davi",3
"gareth",3
"adam",3
"bolivar",3
"cook",3
"diet",3
"length",3
"chosen",3
"tayer",3
"pose",3
"insuffici",3
"undergo",3
"petrona",3
"nuclear",3
"roy",3
"alan",3
"mer",3
"saf",3
"sur",3
"smooth",3
"scotia",3
"gone",3
"stamp",3
"anxious",3
"cement",3
"taxpay",3
"bash",3
"confin",3
"grew",3
"rhetor",3
"broader",3
"clarifi",3
"democraci",3
"outstand",3
"discrimin",3
"fibr",3
"itc",3
"voic",3
"pollock",3
"joe",3
"unsur",3
"fortnight",3
"man",3
"freer",3
"pain",3
"sidetrack",3
"tourist",3
"scotland",3
"event",3
"irv",3
"mini",3
"philip",3
"shorter",3
"taupo",3
"disincent",3
"mcivor",3
"attent",3
"flare",3
"warplan",3
"qassem",3
"abdel",3
"hussein",3
"rahim",3
"reshuffl",3
"tonight",3
"excis",3
"krapel",3
"shuffl",3
"upcom",3
"tripl",3
"segment",3
"emphasis",3
"kuroda",3
"makoto",3
"jose",3
"omer",3
"suna",3
"rubber",3
"invok",3
"scienc",3
"caltex",3
"naphtha",3
"axworthi",3
"geolog",3
"madagascar",3
"proport",3
"zhao",3
"des",3
"petrol",3
"eleventh",3
"languag",3
"idl",3
"featur",3
"tobago",3
"trinidad",3
"unexpect",3
"overvalu",3
"particulari",3
"rank",3
"negara",3
"ringgit",3
"hundr",3
"motion",3
"gramm",3
"lombard",3
"radic",3
"lazier",3
"slope",3
"dattel",3
"slower",3
"kuranari",3
"mount",3
"mmtc",3
"cawl",3
"bias",3
"irrat",3
"regret",3
"shoichi",3
"bouldikian",3
"lebanon",3
"nashashibi",3
"prawiro",3
"fleme",3
"jardin",3
"circular",3
"philadelphia",3
"sidelin",3
"foolish",3
"hall",3
"synfuel",3
"ebing",3
"reassess",3
"hostil",3
"shiratori",3
"brussel",3
"overreact",3
"diseas",3
"armacost",3
"lyng",3
"check",3
"anchor",3
"lopsid",3
"groundwork",3
"delor",3
"bleak",3
"gerhard",3
"gould",3
"constitut",3
"wyss",3
"pgrt",3
"fomc",3
"peck",3
"divert",2
"limp",2
"slacken",2
"winter",2
"par",2
"swann",2
"txc",2
"marker",2
"rumour",2
"suppos",2
"lull",2
"bin",2
"surround",2
"wealth",2
"estat",2
"fragment",2
"innov",2
"syndic",2
"briefli",2
"jamaica",2
"hasn",2
"reintroduc",2
"fob",2
"aramco",2
"ras",2
"rush",2
"taper",2
"ingvar",2
"abandon",2
"accomplish",2
"auspic",2
"criteria",2
"finger",2
"leverag",2
"pave",2
"questionnair",2
"sag",2
"schultz",2
"topic",2
"stiff",2
"generous",2
"planner",2
"renegoti",2
"taipei",2
"aspen",2
"humanist",2
"mitig",2
"cftc",2
"neither",2
"platinum",2
"thoma",2
"broadcast",2
"chiefli",2
"film",2
"realiz",2
"akiman",2
"contraven",2
"exclus",2
"fault",2
"inact",2
"undercut",2
"ayala",2
"infrastructur",2
"lpg",2
"santa",2
"distinct",2
"behaviour",2
"chen",2
"communism",2
"counsellor",2
"discard",2
"dual",2
"lobbi",2
"memorandum",2
"prejudic",2
"shibiao",2
"tran",2
"voluntarili",2
"tucker",2
"allen",2
"keidanren",2
"saito",2
"bergsten",2
"atmospher",2
"clout",2
"headlin",2
"herman",2
"scandal",2
"ill",2
"age",2
"barclay",2
"luncheon",2
"denial",2
"indeped",2
"jawbon",2
"opinion",2
"vessel",2
"whitehal",2
"donat",2
"kenya",2
"morocco",2
"tunisia",2
"fashion",2
"inf",2
"steam",2
"thick",2
"preferenti",2
"samuel",2
"prohibit",2
"salmon",2
"belkacem",2
"nabi",2
"ail",2
"tertiari",2
"murphi",2
"conform",2
"fat",2
"narrowli",2
"overse",2
"pictur",2
"transit",2
"belgo",2
"belgolux",2
"bleu",2
"beneficiari",2
"owner",2
"punish",2
"valid",2
"jeopardi",2
"entri",2
"freeli",2
"hypothet",2
"illeg",2
"kaczurba",2
"misunderstand",2
"modernis",2
"pap",2
"precis",2
"solidar",2
"theoret",2
"withdrew",2
"societi",2
"entail",2
"foreseen",2
"notic",2
"ongo",2
"opecna",2
"suez",2
"unwil",2
"bailey",2
"franz",2
"heed",2
"jean",2
"approxim",2
"convent",2
"retroact",2
"metr",2
"notifi",2
"station",2
"volcano",2
"game",2
"haul",2
"holm",2
"readili",2
"resold",2
"scarc",2
"outlet",2
"town",2
"hook",2
"hurtado",2
"supplement",2
"nioc",2
"hua",2
"pearl",2
"creation",2
"maryland",2
"foulk",2
"queri",2
"recover",2
"trillium",2
"rah",2
"bracho",2
"district",2
"homeless",2
"inspect",2
"indiana",2
"michigan",2
"arctic",2
"dialogu",2
"hinder",2
"boon",2
"lifetim",2
"tour",2
"agent",2
"frolov",2
"shenzhen",2
"bach",2
"capel",2
"carol",2
"harder",2
"inexpens",2
"rout",2
"ryavec",2
"shrug",2
"wolff",2
"nazir",2
"tripoli",2
"peac",2
"mti",2
"jumardi",2
"ram",2
"railway",2
"roll",2
"andean",2
"patricio",2
"quevedo",2
"rafael",2
"teran",2
"bernstein",2
"dalla",2
"favorit",2
"gaspar",2
"halliburton",2
"sandi",2
"verg",2
"contempl",2
"extraordinari",2
"furthermor",2
"uphold",2
"choke",2
"holiday",2
"scottish",2
"latter",2
"petrocanada",2
"tow",2
"apparel",2
"hesit",2
"passeng",2
"satisfactori",2
"eleven",2
"safeti",2
"train",2
"finalis",2
"imec",2
"juic",2
"poulenc",2
"rhone",2
"miraflor",2
"palac",2
"deflect",2
"guayaquil",2
"cnooc",2
"stationeri",2
"unwind",2
"inroad",2
"peckford",2
"peterson",2
"desper",2
"pakistan",2
"artifici",2
"contractu",2
"bay",2
"prudho",2
"safeguard",2
"bonus",2
"compagni",2
"garron",2
"lavera",2
"med",2
"montedison",2
"societ",2
"bonanza",2
"cano",2
"endang",2
"limon",2
"perri",2
"stricter",2
"clearcut",2
"perspect",2
"frighten",2
"wedg",2
"assam",2
"wane",2
"hover",2
"alexandria",2
"await",2
"alik",2
"autonom",2
"birthday",2
"coin",2
"corel",2
"esta",2
"fortun",2
"giscard",2
"jealous",2
"kredietbank",2
"leap",2
"mint",2
"punt",2
"quantum",2
"runaway",2
"schmidt",2
"tinker",2
"valeri",2
"vision",2
"emcf",2
"armi",2
"disagr",2
"colon",2
"puerto",2
"ruptur",2
"netherland",2
"ann",2
"detect",2
"inordin",2
"mcgroarti",2
"midland",2
"neill",2
"stifl",2
"saudia",2
"harden",2
"mood",2
"attain",2
"satisfactorili",2
"sink",2
"yamani",2
"zaki",2
"abdulaziz",2
"assembl",2
"enterpris",2
"fledgl",2
"initial",2
"outlay",2
"red",2
"salim",2
"simpl",2
"slowdown",2
"suleiman",2
"suit",2
"dampen",2
"maiz",2
"anonym",2
"born",2
"resembl",2
"baghdad",2
"format",2
"libyan",2
"newslett",2
"frozen",2
"salari",2
"banqu",2
"devast",2
"pre",2
"sympathet",2
"broke",2
"cairo",2
"door",2
"spare",2
"afl",2
"allegi",2
"beset",2
"cio",2
"jenkin",2
"phil",2
"propon",2
"prosper",2
"remedi",2
"thousand",2
"cacex",2
"perfect",2
"roberto",2
"embark",2
"harrington",2
"outer",2
"stockpil",2
"file",2
"seoul",2
"imposit",2
"meaning",2
"psycholog",2
"slim",2
"routin",2
"accommod",2
"citrus",2
"crise",2
"histori",2
"shall",2
"competitor",2
"thrust",2
"abund",2
"downstream",2
"piw",2
"superior",2
"chivuno",2
"violent",2
"edinburgh",2
"incorrect",2
"lewi",2
"mackenzi",2
"off",2
"ring",2
"utilis",2
"captiv",2
"justif",2
"modern",2
"tendenc",2
"ibrahim",2
"sdr",2
"theori",2
"budgetari",2
"conjunct",2
"uneconom",2
"condens",2
"wainco",2
"abdelaziz",2
"besid",2
"vat",2
"domenici",2
"allot",2
"holder",2
"aomi",2
"cloth",2
"mirror",2
"sir",2
"broken",2
"evolut",2
"administ",2
"census",2
"channel",2
"expatri",2
"explicit",2
"gape",2
"worst",2
"lake",2
"seismic",2
"underway",2
"upper",2
"corn",2
"sudanes",2
"contin",2
"bethlehem",2
"chien",2
"guaranti",2
"hanov",2
"hefti",2
"heighten",2
"merchandis",2
"wendt",2
"comparison",2
"converg",2
"unavail",2
"undevelop",2
"genuin",2
"necessarili",2
"caf",2
"destroy",2
"reconstruct",2
"semiconduct",2
"spent",2
"trico",2
"convers",2
"breakthrough",2
"treati",2
"function",2
"korkman",2
"kullberg",2
"consequ",2
"incompat",2
"jurisdict",2
"airlin",2
"van",2
"elk",2
"golden",2
"naval",2
"countervail",2
"rash",2
"dls",2
"invoic",2
"mcclure",2
"radio",2
"unfortun",2
"choic",2
"leadership",2
"brake",2
"outstrip",2
"promin",2
"sfem",2
"true",2
"bernard",2
"bush",2
"inclus",2
"instil",2
"pirat",2
"popularis",2
"praug",2
"readjust",2
"trademark",2
"tragedi",2
"rip",2
"backdrop",2
"cap",2
"durabl",2
"snap",2
"eve",2
"terribl",2
"sydney",2
"ncso",2
"essenti",2
"grave",2
"tsomu",2
"rollback",2
"standstil",2
"catalyt",2
"cracker",2
"undamag",2
"nowruz",2
"rubbl",2
"colorado",2
"kansa",2
"mamman",2
"advic",2
"hammer",2
"hasti",2
"inappropri",2
"micro",2
"micron",2
"unregul",2
"secertari",2
"baath",2
"command",2
"explan",2
"ina",2
"isam",2
"saddam",2
"conting",2
"socialist",2
"rotari",2
"wyom",2
"adapt",2
"era",2
"marketplac",2
"pit",2
"witch",2
"coooper",2
"pierc",2
"translat",2
"amortis",2
"rational",2
"ridden",2
"standpoint",2
"escal",2
"redoubl",2
"rupiah",2
"oljeselskap",2
"reservoir",2
"tract",2
"jeopard",2
"camdessus",2
"stark",2
"taxwrit",2
"goodyear",2
"tire",2
"archer",2
"likewis",2
"carbozulia",2
"chacin",2
"ent",2
"idrocarburi",2
"metric",2
"nazional",2
"reimpel",2
"ton",2
"fals",2
"softwood",2
"vow",2
"morondava",2
"omni",2
"sunk",2
"ordinari",2
"personnel",2
"sassan",2
"tpn",2
"wellhead",2
"juha",2
"ahc",2
"amerada",2
"barent",2
"cie",2
"deminex",2
"hess",2
"nhi",2
"tenneco",2
"marcel",2
"deepli",2
"ident",2
"government",2
"onto",2
"aliv",2
"infer",2
"outspoken",2
"unwarr",2
"bow",2
"lengthi",2
"undertak",2
"pessim",2
"reput",2
"anyway",2
"tex",2
"geipel",2
"gmbh",2
"han",2
"pension",2
"shore",2
"dean",2
"street",2
"witter",2
"factori",2
"loom",2
"macroeconom",2
"tadashi",2
"window",2
"complement",2
"maekawa",2
"redirect",2
"rob",2
"sooth",2
"iron",2
"ore",2
"minimis",2
"parliamentarian",2
"forex",2
"eiaj",2
"batter",2
"parallel",2
"unsatisfactori",2
"thorough",2
"tsba",2
"aris",2
"experi",2
"concept",2
"prerequisit",2
"unifi",2
"ica",2
"belliger",2
"depict",2
"draconian",2
"highlight",2
"isol",2
"meaningless",2
"walk",2
"ganaveh",2
"eros",2
"nick",2
"unaffect",2
"impress",2
"mas",2
"motiv",2
"nikko",2
"tumbl",2
"belgrad",2
"automobil",2
"symbol",2
"virginia",2
"sider",2
"weakest",2
"buckler",2
"dunham",2
"rack",2
"testifi",2
"shale",2
"dealt",2
"resign",2
"successor",2
"uchida",2
"cold",2
"martin",2
"roubl",2
"skill",2
"sword",2
"knowledg",2
"ecus",2
"shot",2
"utah",2
"els",2
"wrong",2
"usda",2
"oakley",2
"cote",2
"sprinkel",2
"sloan",2
"underpin",2
"fluxtuat",2
"tenth",2
"odd",2
"thwart",2
"truste",2
"gothenburg",2
"conductor",2
"proven",2
"halvorsen",2
"donaldson",2
"jenrett",2
"lufkin",2
"undoubt",2
"dam",2
"mainstay",2
"sahara",2
"roach",2
"slifer",2
"gobert",2
"plexman",2
"cravo",2
"nort",2
"kilometr",2
"dedramatis",2
"tentat",2
"kaufman",2
"lanston",2
"midyear",2
"shiviyacu",2
"abrupt",2
"reassur",2
"whip",2
"writeoff",2
"kurlack",2
"aus",2
"rup",2
"crumbl",1
"cruzado",1
"froze",1
"hail",1
"saviour",1
"copani",1
"bijan",1
"cambridg",1
"cera",1
"character",1
"deem",1
"dillard",1
"editor",1
"harvard",1
"lesson",1
"moussavar",1
"rahmani",1
"readdress",1
"sprigg",1
"teach",1
"yergin",1
"unithold",1
"baseless",1
"clever",1
"broaden",1
"exert",1
"pertain",1
"amidst",1
"foremost",1
"minus",1
"rationalis",1
"recurr",1
"responsibilit",1
"shoulder",1
"thani",1
"twelfth",1
"bsc",1
