"","x"
"disclosur",1
"euronot",1
"famili",1
"flotat",1
"immin",1
"precious",1
"relinquish",1
"underwrit",1
"vehicl",1
"glut",1
"falter",1
"aymah",1
"fold",1
"jubail",1
"tanurah",1
"apartheid",1
"calrsson",1
"adverseri",1
"condemn",1
"culprit",1
"fist",1
"gamut",1
"kick",1
"overhang",1
"peev",1
"speedi",1
"spoil",1
"strive",1
"wheel",1
"doha",1
"organia",1
"chao",1
"earner",1
"devic",1
"drawback",1
"path",1
"capozza",1
"debut",1
"mcfadden",1
"rosemari",1
"crossbord",1
"minim",1
"notion",1
"player",1
"postwar",1
"shi",1
"belong",1
"erdem",1
"kapsi",1
"kaya",1
"nazmi",1
"protocol",1
"seab",1
"trace",1
"yanni",1
"overcom",1
"stuck",1
"warmer",1
"arithmet",1
"miracl",1
"solita",1
"uncompetit",1
"ammonia",1
"ayal",1
"cardena",1
"lazaro",1
"nueva",1
"tank",1
"teapa",1
"tito",1
"arbitrari",1
"czechoslovakia",1
"dalian",1
"facto",1
"lever",1
"persaud",1
"pool",1
"preced",1
"abolit",1
"antagonis",1
"eishiro",1
"halv",1
"rice",1
"stave",1
"fred",1
"fom",1
"mosti",1
"orient",1
"stupid",1
"suprlus",1
"smoke",1
"career",1
"convern",1
"gill",1
"jack",1
"lump",1
"qustion",1
"servant",1
"trough",1
"suicid",1
"canot",1
"indid",1
"longshot",1
"marion",1
"oversold",1
"postit",1
"stewart",1
"yeterray",1
"francisco",1
"concession",1
"costa",1
"dominican",1
"leahi",1
"melcher",1
"mont",1
"patrick",1
"republ",1
"rica",1
"seneg",1
"interfuel",1
"ope",1
"apolonio",1
"fad",1
"spanish",1
"surviv",1
"unresolv",1
"davignon",1
"etienn",1
"hugo",1
"luyten",1
"birr",1
"crawl",1
"curti",1
"dreg",1
"munger",1
"endo",1
"minoru",1
"unprocess",1
"alick",1
"britian",1
"dive",1
"manpow",1
"permament",1
"snith",1
"coher",1
"mold",1
"oilpatch",1
"railroad",1
"revit",1
"agreeeement",1
"arbit",1
"bypass",1
"commuiti",1
"echo",1
"eec",1
"occas",1
"portug",1
"reesent",1
"tactic",1
"multin",1
"preparatori",1
"petrleum",1
"unbalanc",1
"experienc",1
"guinean",1
"kina",1
"privileg",1
"disqualif",1
"disqualifi",1
"paperwork",1
"unpreced",1
"penetr",1
"amongst",1
"baka",1
"blur",1
"crush",1
"excus",1
"extrapol",1
"foodstuff",1
"ice",1
"illus",1
"illusori",1
"immor",1
"janusz",1
"lender",1
"martial",1
"moral",1
"nebul",1
"obstruct",1
"offshoot",1
"phenomenon",1
"pole",1
"setback",1
"someon",1
"suppress",1
"torpedo",1
"uncommon",1
"wladyslaw",1
"overpr",1
"capita",1
"counteract",1
"soley",1
"taiwain",1
"biannual",1
"chair",1
"extraordinrari",1
"lifter",1
"matrix",1
"unnam",1
"carlucci",1
"bahar",1
"egpc",1
"patient",1
"propuc",1
"underproduc",1
"cargil",1
"cereal",1
"claud",1
"dispar",1
"feiter",1
"harmoni",1
"josef",1
"kohl",1
"unprofit",1
"bouy",1
"drawdown",1
"greenshield",1
"simon",1
"suport",1
"unlead",1
"compos",1
"egon",1
"padovan",1
"yugoslavian",1
"eralp",1
"yalim",1
"leeway",1
"norbec",1
"processi",1
"tar",1
"truck",1
"midsess",1
"pbt",1
"omin",1
"steward",1
"corporacion",1
"ecaudor",1
"ecuatoriana",1
"epicentr",1
"petrolera",1
"reventador",1
"salado",1
"seismologist",1
"shook",1
"brass",1
"chicken",1
"friedburg",1
"hank",1
"imagin",1
"indefinti",1
"skeptic",1
"struggl",1
"surfac",1
"tab",1
"uniti",1
"wonder",1
"algier",1
"deploy",1
"greet",1
"stablis",1
"adana",1
"anatolian",1
"hurriyet",1
"kirkuk",1
"yumurtalik",1
"colder",1
"disguis",1
"straight",1
"vlccs",1
"liu",1
"coutervail",1
"knotti",1
"proportion",1
"univer",1
"calgari",1
"delin",1
"hibernia",1
"icg",1
"parex",1
"regulatori",1
"rias",1
"wholli",1
"woon",1
"andes",1
"brancho",1
"burst",1
"cayamb",1
"corps",1
"die",1
"disappear",1
"gigant",1
"hardest",1
"hut",1
"jorg",1
"lara",1
"magnitud",1
"marco",1
"pipellin",1
"swell",1
"wast",1
"autobiographi",1
"headi",1
"oilman",1
"amtorg",1
"detent",1
"sergey",1
"taught",1
"depositor",1
"fujian",1
"guangdong",1
"hainan",1
"nationwid",1
"wenzhou",1
"zhejiang",1
"aizawa",1
"annoy",1
"comeback",1
"donovan",1
"escap",1
"fate",1
"hot",1
"keller",1
"matt",1
"megabit",1
"mere",1
"mmi",1
"outfox",1
"recalcitr",1
"sia",1
"sneak",1
"thorni",1
"unclear",1
"vari",1
"winner",1
"irna",1
"mana",1
"nahayan",1
"oteiba",1
"stopov",1
"sultan",1
"vist",1
"zaid",1
"battlefield",1
"homeland",1
"palestinian",1
"hardjoko",1
"rachman",1
"seputro",1
"split",1
"infus",1
"liqud",1
"argentin",1
"summon",1
"velasco",1
"baird",1
"bko",1
"businesess",1
"goldman",1
"haber",1
"hal",1
"harold",1
"headquart",1
"hord",1
"ike",1
"jeffrey",1
"leaseback",1
"maxim",1
"mcdermott",1
"mdr",1
"multipl",1
"sach",1
"simmon",1
"slb",1
"stockhold",1
"streamlin",1
"swarup",1
"vishnu",1
"contrari",1
"disassoci",1
"herebi",1
"media",1
"mislead",1
"tragic",1
"interprovinci",1
"lasmo",1
"overrid",1
"rainbow",1
"scurri",1
"srb",1
"tableland",1
"opt",1
"disquiet",1
"amman",1
"khatib",1
"nra",1
"boe",1
"dougla",1
"mcdonnel",1
"piraci",1
"puchas",1
"deserv",1
"displac",1
"hurdl",1
"agro",1
"anybodi",1
"baptist",1
"businessman",1
"foresaw",1
"gosagroprom",1
"interagra",1
"vsevolod",1
"lent",1
"undetermin",1
"propens",1
"regrett",1
"banquet",1
"aturo",1
"maracaibo",1
"lufeng",1
"mouth",1
"yellow",1
"beer",1
"cigarett",1
"wile",1
"frame",1
"getti",1
"longstand",1
"rough",1
"substanc",1
"transpir",1
"charter",1
"dissoci",1
"inspir",1
"lucki",1
"recur",1
"anita",1
"grace",1
"namibia",1
"hoenman",1
"caribou",1
"dispit",1
"inadqu",1
"jay",1
"musk",1
"over",1
"oxen",1
"wilder",1
"athabasca",1
"feasibl",1
"fort",1
"mcmurray",1
"pilot",1
"augusta",1
"berr",1
"cfr",1
"energia",1
"etang",1
"isab",1
"italiana",1
"mede",1
"mellili",1
"priolo",1
"quirico",1
"raffinag",1
"rearrang",1
"selm",1
"siracusa",1
"societa",1
"tighter",1
"visbreak",1
"arauca",1
"camp",1
"chona",1
"collabor",1
"franciso",1
"guerrilla",1
"guillermo",1
"leftist",1
"narvaez",1
"rebel",1
"subvers",1
"upsurg",1
"stoppag",1
"knock",1
"unsel",1
"chronic",1
"anchorag",1
"kerir",1
"sedi",1
"sume",1
"danish",1
"irish",1
"alfr",1
"apholt",1
"soften",1
"stein",1
"canadaina",1
"dominion",1
"electromagnet",1
"iit",1
"sponsorship",1
"almir",1
"mediat",1
"occupi",1
"pazzionotto",1
"reign",1
"rio",1
"ampl",1
"boat",1
"minsitri",1
"paralys",1
"octoer",1
"petit",1
"processor",1
"raw",1
"accler",1
"beaten",1
"burn",1
"displeasur",1
"enquir",1
"incumb",1
"pfennig",1
"pursuant",1
"regress",1
"remind",1
"repatri",1
"roar",1
"stymi",1
"surmis",1
"toler",1
"unwound",1
"parent",1
"penalis",1
"abal",1
"bloat",1
"conglomer",1
"fighter",1
"hotel",1
"khail",1
"mountain",1
"redec",1
"thrash",1
"tihamah",1
"buri",1
"fora",1
"hatchet",1
"instabl",1
"karl",1
"otto",1
"poehl",1
"quarrel",1
"reassembl",1
"shake",1
"stubborn",1
"tame",1
"toyko",1
"unruli",1
"vincent",1
"acquah",1
"lusaka",1
"meal",1
"modif",1
"quell",1
"remodel",1
"rescu",1
"riot",1
"unip",1
"becker",1
"cologn",1
"consolid",1
"counterparti",1
"creditworthi",1
"eurobond",1
"intermediari",1
"juergen",1
"newer",1
"reinterpret",1
"scrutini",1
"specialist",1
"supervis",1
"supervisori",1
"authorit",1
"covert",1
"cyprus",1
"hydrocarbon",1
"inequ",1
"bus",1
"digniti",1
"fare",1
"hire",1
"legitim",1
"prestig",1
"sovereign",1
"stapl",1
"orgin",1
"plight",1
"aluminium",1
"anwar",1
"arsenal",1
"bassiouni",1
"furnitur",1
"glass",1
"hardwar",1
"hosni",1
"leather",1
"mubarak",1
"mustapha",1
"newsprint",1
"payabl",1
"sadat",1
"salah",1
"unreason",1
"youssri",1
"commerzbank",1
"crane",1
"georgia",1
"poepl",1
"staunch",1
"albertan",1
"columbian",1
"detial",1
"passion",1
"poorer",1
"riski",1
"stumbl",1
"trariff",1
"unadjust",1
"derivit",1
"allevi",1
"fisheri",1
"sensibl",1
"subisdi",1
"wil",1
"boiler",1
"nickl",1
"overestim",1
"underestim",1
"util",1
"simplifi",1
"tantamount",1
"ingenu",1
"minsit",1
"osamu",1
"yukio",1
"contra",1
"efficaci",1
"hiroshi",1
"mochizuki",1
"takahashi",1
"yukuo",1
"alert",1
"brinkmanship",1
"fran",1
"hagu",1
"lunch",1
"pasta",1
"provoc",1
"strident",1
"effot",1
"hidden",1
"prescrib",1
"srd",1
"suspect",1
"antwerp",1
"bunch",1
"capciti",1
"intellig",1
"journal",1
"opert",1
"reclaim",1
"shaken",1
"fluctat",1
"leonard",1
"ammend",1
"arbroath",1
"consent",1
"fenc",1
"henceforth",1
"osprey",1
"realloc",1
"tidier",1
"merg",1
"plns",1
"adapingth",1
"bcf",1
"coke",1
"difficultiesand",1
"chairmanship",1
"karim",1
"frion",1
"grandmarai",1
"jefferson",1
"parish",1
"perfor",1
"pipe",1
"prspect",1
"tweedel",1
"untest",1
"wol",1
"euro",1
"fadhil",1
"fledg",1
"unviabl",1
"remit",1
"uniqu",1
"billlion",1
"overshoot",1
"anba",1
"discontinu",1
"fetch",1
"malaysian",1
"tapi",1
"tradeabl",1
"dunnen",1
"mayor",1
"roel",1
"seattl",1
"twin",1
"chernobyl",1
"humaid",1
"radiat",1
"resubmit",1
"undertaken",1
"collis",1
"copi",1
"imag",1
"threshhold",1
"persian",1
"shoot",1
"earnng",1
"easiest",1
"essf",1
"hypothesi",1
"petrochem",1
"halifax",1
"scotian",1
"audio",1
"counterfeit",1
"digit",1
"florio",1
"imped",1
"jersey",1
"lucrat",1
"widerang",1
"woe",1
"woven",1
"shanker",1
"shiv",1
"fan",1
"herbal",1
"medicin",1
"bold",1
"breakneck",1
"fabric",1
"legendari",1
"outsiz",1
"realism",1
"reckless",1
"reshap",1
"tale",1
"toll",1
"underlin",1
"unpunish",1
"usher",1
"watchword",1
"wealthi",1
"wrought",1
"mlc",1
"northstar",1
"peerless",1
"tricentrol",1
"trout",1
"vicin",1
"cow",1
"hide",1
"peanut",1
"pharmaceut",1
"sesam",1
"spice",1
"tomato",1
"code",1
"sytem",1
"applianc",1
"balloon",1
"cerier",1
"chandross",1
"doorstep",1
"exort",1
"impedi",1
"incipi",1
"koss",1
"motor",1
"overral",1
"prong",1
"scream",1
"seventh",1
"shien",1
"teeth",1
"ticket",1
"ouput",1
"manuel",1
"women",1
"annex",1
"kittiwak",1
"uplift",1
"oscil",1
"retent",1
"boomerang",1
"misguid",1
"mistak",1
"throw",1
"wrench",1
"antonio",1
"galo",1
"gil",1
"montano",1
"parra",1
"perez",1
"stiffer",1
"footwear",1
"garment",1
"shop",1
"hydraul",1
"laioh",1
"tro",1
"dairi",1
"geographi",1
"withdrawn",1
"accru",1
"anytim",1
"dividend",1
"placement",1
"kuroski",1
"maslen",1
"rome",1
"zdzislaw",1
"necess",1
"repreent",1
"amauligak",1
"barit",1
"beaufort",1
"goc",1
"mud",1
"powder",1
"shorelin",1
"issuer",1
"rolf",1
"sixten",1
"aramid",1
"induc",1
"thinh",1
"beacon",1
"caljet",1
"casey",1
"cryssen",1
"eagl",1
"edgington",1
"lunday",1
"macmillan",1
"mock",1
"newhal",1
"orkin",1
"thagard",1
"commonwealth",1
"gestur",1
"goodwil",1
"mechanisim",1
"neighbor",1
"quasijudici",1
"arizona",1
"idaho",1
"matsui",1
"mccain",1
"microprocessor",1
"herald",1
"inward",1
"kombo",1
"moyana",1
"arifin",1
"flew",1
"java",1
"siregar",1
"wise",1
"ambiti",1
"blue",1
"bumper",1
"elit",1
"harvest",1
"husain",1
"ishrat",1
"logic",1
"rural",1
"urban",1
"sepemb",1
"appetit",1
"auspici",1
"bounc",1
"cloudi",1
"deviat",1
"drift",1
"ecomom",1
"enliven",1
"greenbaum",1
"hang",1
"inde",1
"inertia",1
"pall",1
"sideway",1
"slice",1
"slumber",1
"unfavour",1
"inher",1
"bog",1
"denni",1
"intens",1
"undiscov",1
"acreag",1
"divers",1
"donald",1
"brkn",1
"ian",1
"mear",1
"pti",1
"rebuild",1
"neglect",1
"enquiri",1
"ingolstadt",1
"yard",1
"ardeshir",1
"depriv",1
"ruler",1
"bradstreet",1
"dunn",1
"deflationari",1
"indebted",1
"samaila",1
"catastroph",1
"eras",1
"hint",1
"masaji",1
"nipn",1
"rebutt",1
"rock",1
"strang",1
"trap",1
"utmost",1
"excchang",1
"agcni",1
"asadi",1
"hamza",1
"jabbar",1
"khadeir",1
"subhi",1
"yassin",1
"zubedei",1
"zubeidi",1
"adkerson",1
"andersen",1
"arthur",1
"exisit",1
"jofre",1
"obvious",1
"persuas",1
"variabl",1
"govt",1
"inoc",1
"revolut",1
"shakeup",1
"abus",1
"conced",1
"dellsher",1
"deutsch",1
"gyrat",1
"merchant",1
"nearest",1
"salutari",1
"smithsonian",1
"unrealist",1
"hindsight",1
"inconclus",1
"reap",1
"immens",1
"ludicr",1
"plough",1
"ration",1
"background",1
"certainti",1
"plenti",1
"rent",1
"tailor",1
"waiver",1
"revitalis",1
"contenti",1
"earliest",1
"osaka",1
"aam",1
"rai",1
"rental",1
"submiss",1
"davo",1
"pat",1
"banana",1
"quantit",1
"shine",1
"somehow",1
"wellington",1
"appl",1
"chocol",1
"dictat",1
"timet",1
"buoy",1
"leg",1
"northermost",1
"remot",1
"subsea",1
"breakfast",1
"mnd",1
"asid",1
"beshir",1
"clean",1
"ethiopia",1
"inelig",1
"shaalan",1
"shakour",1
"smuggl",1
"stringent",1
"thrive",1
"twenti",1
"visitor",1
"zair",1
"aggreg",1
"outrag",1
"ridicul",1
"sleep",1
"winkl",1
"exhibit",1
"guidepost",1
"heritag",1
"retail",1
"text",1
"uniform",1
"wholesal",1
"barbara",1
"calif",1
"celeron",1
"diamet",1
"joaquin",1
"pack",1
"staqrt",1
"underground",1
"valley",1
"bonker",1
"tape",1
"antidump",1
"forego",1
"industori",1
"lightweight",1
"unionist",1
"diesel",1
"infant",1
"renato",1
"softwar",1
"annouc",1
"carbon",1
"eni",1
"expertis",1
"guasar",1
"guzman",1
"juan",1
"pablo",1
"zulia",1
"andrew",1
"bumbl",1
"flashpoint",1
"fumbl",1
"harrass",1
"nitrogen",1
"traget",1
"unstabl",1
"ceremenoni",1
"geophys",1
"ratsimandresi",1
"roland",1
"capitalis",1
"forbid",1
"ziyang",1
"accomod",1
"aerial",1
"enemi",1
"helicopt",1
"pad",1
"tehran",1
"unidentifi",1
"excit",1
"fereidun",1
"hawaii",1
"honolulu",1
"papuan",1
"pocket",1
"sedimentari",1
"aquitain",1
"arco",1
"brasileiro",1
"elf",1
"elfp",1
"fina",1
"moer",1
"national",1
"nemour",1
"petb",1
"petrofina",1
"pont",1
"sagp",1
"smoerbukk",1
"ste",1
"tet",1
"tgt",1
"troll",1
"unexplor",1
"withheld",1
"awsat",1
"judgment",1
"plateau",1
"sharq",1
"cmte",1
"committess",1
"anywher",1
"discret",1
"surcharg",1
"ruputur",1
"stricken",1
"phrase",1
"rid",1
"truli",1
"viabil",1
"signatori",1
"corner",1
"ealier",1
"devot",1
"tommorrow",1
"undertook",1
"curv",1
"inseper",1
"seper",1
"ludolf",1
"confus",1
"koichi",1
"miyazaki",1
"nashimoto",1
"oversuppli",1
"sanwa",1
"sheer",1
"tadahiko",1
"jaafar",1
"prudenc",1
"downgrad",1
"exposur",1
"impair",1
"moneylin",1
"politician",1
"committ",1
"undesir",1
"aerospac",1
"blohm",1
"boelkow",1
"citibank",1
"compromis",1
"employe",1
"forg",1
"forgotten",1
"gesamtmetal",1
"heimat",1
"humili",1
"inhibit",1
"interfer",1
"messerschmitt",1
"metalwork",1
"meyer",1
"mop",1
"neue",1
"obstinaci",1
"passau",1
"predecessor",1
"protract",1
"shorten",1
"squar",1
"steinkuehl",1
"triennial",1
"ute",1
"zahnradfabrik",1
"arisen",1
"balladur",1
"edouard",1
"affirm",1
"ball",1
"beat",1
"brightest",1
"carl",1
"eugen",1
"icahn",1
"ilacqua",1
"matchmak",1
"nowak",1
"prescott",1
"retreat",1
"rosario",1
"rothschild",1
"swirl",1
"turben",1
"unattract",1
"destabil",1
"fernand",1
"germain",1
"lock",1
"childhood",1
"danni",1
"fraud",1
"freed",1
"interv",1
"ivan",1
"jail",1
"nazi",1
"overturn",1
"paranoia",1
"persecut",1
"prison",1
"prosecut",1
"sentenc",1
"stun",1
"volkswagen",1
"alcudiai",1
"guilermno",1
"kelvin",1
"lui",1
"ramnath",1
"rubio",1
"stride",1
"alcohol",1
"campo",1
"liquefi",1
"usag",1
"agreeement",1
"chile",1
"fuell",1
"human",1
"misplac",1
"stagnant",1
"thailand",1
"underutilis",1
"gotoda",1
"masaharu",1
"academ",1
"concessionari",1
"ibrd",1
"ida",1
"rechannel",1
"sake",1
"box",1
"empti",1
"haruo",1
"infight",1
"pep",1
"protest",1
"punch",1
"shatter",1
"tacit",1
"discreet",1
"illustr",1
"insignific",1
"jute",1
"rail",1
"stc",1
"tea",1
"tobacco",1
"austrian",1
"creditanstalt",1
"danzing",1
"girozentral",1
"herbert",1
"defict",1
"insid",1
"laser",1
"printer",1
"reaan",1
"fei",1
"jen",1
"kuo",1
"ministi",1
"quicken",1
"reserveshelp",1
"soochow",1
"angrili",1
"emot",1
"multi",1
"prematur",1
"reconsid",1
"meantim",1
"meguerditch",1
"twelv",1
"demerit",1
"deyan",1
"ideolog",1
"jiyun",1
"renminbi",1
"suitabl",1
"yao",1
"yilin",1
"downplay",1
"polic",1
"porfolio",1
"bugdet",1
"dirham",1
"ebb",1
"grid",1
"hikmat",1
"model",1
"pauciti",1
"plausibl",1
"abdullah",1
"bancair",1
"bata",1
"beirut",1
"buhindi",1
"burgan",1
"cambist",1
"chairmen",1
"dakhil",1
"ezzedin",1
"hani",1
"imad",1
"international",1
"liban",1
"nasouli",1
"osman",1
"ramadan",1
"riyad",1
"saidan",1
"treasur",1
"tuni",1
"walid",1
"ablaz",1
"marckraq",1
"coupon",1
"english",1
"hunt",1
"nosed",1
"palm",1
"radius",1
"timber",1
"tin",1
"altogeth",1
"contradict",1
"defianc",1
"matsushita",1
"murtha",1
"tom",1
"foresak",1
"resel",1
"simultan",1
"arbitrag",1
"australasian",1
"nichola",1
"pioneer",1
"truer",1
"acccount",1
"undecid",1
"yasuda",1
"aspir",1
"beef",1
"dismay",1
"multitud",1
"nutur",1
"rap",1
"attaka",1
"thin",1
"archi",1
"cnp",1
"petroluem",1
"rosenberg",1
"amaz",1
"automot",1
"height",1
"judi",1
"layoff",1
"strathcona",1
"avalanch",1
"bloodbath",1
"ashland",1
"carter",1
"mcf",1
"boston",1
"revel",1
"tower",1
"dane",1
"nan",1
"rotat",1
"whichev",1
"zhou",1
"ammunit",1
"audienc",1
"candid",1
"coffin",1
"encount",1
"erod",1
"faction",1
"fatal",1
"mitsuru",1
"nail",1
"nice",1
"rei",1
"smoulder",1
"temper",1
"toppl",1
"unpopular",1
"waseda",1
"accredit",1
"bandwagon",1
"cosmet",1
"ethic",1
"illiber",1
"friendship",1
"gorbachev",1
"kremlin",1
"mikhail",1
"nikolai",1
"circuit",1
"itsu",1
"miet",1
"mitsubishi",1
"mot",1
"motorola",1
"nesi",1
"rattl",1
"sendai",1
"trim",1
"unrel",1
"wedd",1
"zoet",1
"page",1
"overview",1
"steer",1
"underton",1
"midday",1
"tune",1
"responsibl",1
"israel",1
"dimens",1
"numer",1
"tougher",1
"brew",1
"dash",1
"dole",1
"overdu",1
"comprehend",1
"glad",1
"hunch",1
"nobuo",1
"dakota",1
"leasehold",1
"mississippi",1
"montana",1
"invari",1
"bureacraci",1
"downtrend",1
"fought",1
"acknowleg",1
"precipit",1
"bethesda",1
"blood",1
"cancer",1
"canvass",1
"cure",1
"dedic",1
"defici",1
"drug",1
"franco",1
"francoi",1
"guillaum",1
"hunger",1
"immun",1
"oldest",1
"pasteur",1
"poverti",1
"rocket",1
"russian",1
"syndrom",1
"terror",1
"vaccin",1
"weapon",1
"weaponri",1
"wordwid",1
"brodi",1
"bull",1
"buoyant",1
"butcher",1
"chunk",1
"entic",1
"evelyn",1
"grenfel",1
"pour",1
"raferti",1
"shock",1
"slowli",1
"sum",1
"tailspin",1
"usual",1
"yamaichi",1
"negot",1
"tide",1
"bark",1
"tree",1
"feedstock",1
"omnibus",1
"murata",1
"phylli",1
"ryohei",1
"graf",1
"gari",1
"prorat",1
"angel",1
"beryl",1
"incomplet",1
"los",1
"arnold",1
"liter",1
"safer",1
"breather",1
"choppi",1
"craig",1
"heel",1
"parker",1
"scene",1
"upsid",1
"chain",1
"conce",1
"detriment",1
"envis",1
"freakish",1
"imput",1
"inpact",1
"montari",1
"newest",1
"overpow",1
"postur",1
"profound",1
"relev",1
"relunct",1
"screw",1
"scuttl",1
"solid",1
"stabal",1
"unwork",1
"wander",1
"wield",1
"prop",1
"sept",1
"beach",1
"buena",1
"huntington",1
"vista",1
"wilmington",1
"harsh",1
"spectr",1
"blunt",1
"bother",1
"concili",1
"hatakeyama",1
"noboru",1
"chapter",1
"duchesn",1
"nielsen",1
"npeeq",1
"unsecur",1
"bludgeon",1
"aviat",1
"ferrous",1
"mongstad",1
"olieselskab",1
"sulphuris",1
"imponder",1
"kiel",1
"stagnat",1
"bjoern",1
"easter",1
"finnish",1
"gabones",1
"hispanoil",1
"neoy",1
"nest",1
"sago",1
"tretvol",1
"undisclos",1
"alongsid",1
"circl",1
"confidant",1
"dick",1
"disdain",1
"indispens",1
"knit",1
"mastermind",1
"mightili",1
"shepherd",1
"spearhead",1
"steet",1
"strategist",1
"theorist",1
"wertheim",1
"destabilis",1
"dinner",1
"gove",1
"harmonis",1
"knokk",1
"resili",1
"workabl",1
"disuss",1
"embrac",1
"funnel",1
"wake",1
"emiss",1
"fukushima",1
"glen",1
"gradovill",1
"masashi",1
"muraoka",1
"shigeru",1
"deadlock",1
"statutori",1
"comfort",1
"congressman",1
"earmark",1
"moratorium",1
"redefinit",1
"richest",1
"sewer",1
"sister",1
"accumul",1
"brusca",1
"detract",1
"flag",1
"overst",1
"possibilti",1
"regardless",1
"reynold",1
"silfer",1
"subdu",1
"sullivan",1
"underst",1
"workweek",1
"reconfirm",1
"absolut",1
"beaubien",1
"class",1
"cushion",1
"dismal",1
"dome",1
"frontier",1
"gover",1
"levesqu",1
"norcen",1
"outweigh",1
"paint",1
"pare",1
"robust",1
"toronto",1
"tremend",1
"wilf",1
"communiqu",1
"covena",1
"dynamit",1
"magangu",1
"northeastern",1
"oilfi",1
"brasilia",1
"sarney",1
"uruc",1
"bipolar",1
"monopolar",1
"oppon",1
"petrocurr",1
"restat",1
"strongest",1
"acrimoni",1
"betwen",1
"reestablish",1
"unenthusiast",1
"airway",1
"parastat",1
"zimoil",1
"aubrey",1
"bode",1
"clearer",1
"composit",1
"fragil",1
"histor",1
"illumin",1
"inflationari",1
"jitter",1
"mccarthi",1
"mild",1
"paroxysm",1
"stone",1
"calend",1
"nar",1
"reafffirm",1
"peruvian",1
"inquiri",1
"aren",1
"boil",1
"listen",1
"reverber",1
"fli",1
"worthi",1
"boycot",1
"enlarg",1
"rememb",1
"whenev",1
"counterproduct",1
"proxmir",1
"wisc",1
"adminsitr",1
"demonst",1
"elliot",1
"eprom",1
"exit",1
"forstal",1
"ladenburg",1
"levin",1
"mollifi",1
"muscl",1
"produt",1
"subtl",1
"thalmann",1
"unfavor",1
"forthcom",1
"semiannu",1
"succesful",1
"constrain",1
"keg",1
"zama",1
"bfr",1
"dfl",1
"din",1
"dkr",1
"dmk",1
"drhm",1
"ffr",1
"fin",1
"ind",1
"irn",1
"lib",1
"lit",1
"mrc",1
"mrk",1
"nkr",1
"pak",1
"ryl",1
"sch",1
"sfr",1
"skr",1
"midwest",1
"sincer",1
"midrat",1
